# s_m, x_opt_m, y_opt_m, d_opt_m, x_left_m, y_left_m, d_left_m, x_right_m, y_right_m, d_right_m, v_opt_mps, v_left_mps, v_right_mps, kappa_opt_radpm, kappa_left_radpm, kappa_right_radpm, psi_opt_rad, psi_left_rad, psi_right_rad, ax_opt_mps2, ax_left_mps2, ax_right_mps2
4.989718,-1.089937,-5.542237,0.000000,-1.811939,-5.508051,0.709272,-0.811942,-5.505660,-0.280356,4.082981,4.830783,4.135088,0.325683,0.265953,0.357270,-1.424254,-1.543486,-1.551258,-2.141694,-0.917015,-1.308576
5.089512,-1.073746,-5.640673,0.000000,-1.809843,-5.623771,0.721220,-0.810422,-5.589761,-0.268184,4.030295,4.808762,4.108384,0.339523,0.273856,0.370441,-1.391076,-1.510771,-1.520022,-2.071420,-0.787525,-1.174751
5.189306,-1.054218,-5.738568,0.000000,-1.794146,-5.856677,0.748119,-0.799275,-5.755522,-0.245504,3.978674,4.773435,4.063168,0.353705,0.288458,0.394718,-1.356476,-1.439892,-1.452479,-1.987847,-0.541688,-0.923153
5.289101,-1.031272,-5.835603,0.000000,-1.780158,-5.973606,0.759730,-0.789525,-5.837060,-0.233850,3.928498,4.760053,4.044468,0.369057,0.295084,0.405862,-1.320449,-1.401728,-1.415777,-1.914941,-0.426139,-0.804487
5.388895,-1.004751,-5.931799,0.000000,-1.761798,-6.090719,0.771010,-0.776957,-5.917259,-0.222545,3.879548,4.749429,4.028288,0.384182,0.301199,0.416445,-1.282860,-1.361777,-1.376859,-1.794677,-0.313707,-0.687882
5.488689,-0.974555,-6.026927,0.000000,-1.738732,-6.208155,0.781889,-0.761507,-5.995949,-0.211706,3.833105,4.741517,4.014571,0.402464,0.306769,0.426468,-1.243726,-1.320276,-1.335892,-1.544135,-0.204892,-0.573980
5.588484,-0.940595,-6.120667,0.000000,-1.710686,-6.325565,0.792200,-0.743133,-6.072894,-0.201415,3.792691,4.736298,4.003245,0.428692,0.311848,0.435908,-1.202295,-1.277681,-1.293177,-1.276198,-0.097566,-0.463058
5.688278,-0.902574,-6.213068,0.000000,-1.677329,-6.442783,0.801845,-0.721807,-6.147862,-0.191743,3.758961,4.733787,3.994219,0.455413,0.316466,0.444735,-1.158123,-1.234123,-1.248903,-0.978150,-0.050476,-0.353515
5.788072,-0.860473,-6.303473,0.000000,-1.638301,-6.559608,0.810749,-0.697497,-6.220656,-0.182800,3.732903,4.732473,3.987421,0.482962,0.320644,0.452965,-1.111349,-1.189702,-1.203199,-0.613442,-0.050506,-0.246796
5.887867,-0.814023,-6.391820,0.000000,-1.593285,-6.675620,0.818755,-0.670232,-6.290948,-0.174721,3.716467,4.731145,3.982751,0.512971,0.324406,0.460569,-1.061658,-1.144552,-1.156296,-0.264961,-0.050464,-0.142939
5.987661,-0.763097,-6.477698,0.000000,-1.483800,-6.903758,0.836895,-0.606908,-6.423072,-0.161281,3.709345,4.728452,3.979340,0.539379,0.330704,0.473892,-1.008961,-1.052388,-1.059510,-0.030681,-0.050126,-0.034882
6.087455,-0.707655,-6.560670,0.000000,-1.419138,-7.014261,0.842757,-0.570633,-6.485074,-0.155503,3.708520,4.727094,3.978710,0.559371,0.333264,0.479591,-0.954155,-1.005600,-1.010002,-0.030667,-0.049693,-0.035602
6.187250,-0.647674,-6.640408,0.000000,-1.347892,-7.121495,0.847383,-0.531372,-6.544178,-0.150928,3.707695,4.725741,3.978075,0.581945,0.335443,0.484645,-0.897227,-0.958468,-0.959978,-0.030653,-0.049136,-0.036017
6.287044,-0.583221,-6.716528,0.000000,-1.270783,-7.224183,0.850774,-0.488395,-6.601392,-0.147476,3.706869,4.724405,3.977427,0.576224,0.337247,0.489039,-0.839308,-0.911058,-0.909643,-0.030640,-0.049258,-0.035952
6.386839,-0.514476,-6.788843,0.000000,-1.103552,-7.412800,0.857817,-0.390554,-6.711633,-0.142117,3.706044,4.721772,3.976099,0.567367,0.339686,0.495886,-0.782252,-0.815910,-0.809131,-0.030640,-0.049350,-0.035583
6.486633,-0.441750,-6.857153,0.000000,-1.014027,-7.499436,0.860248,-0.336458,-6.763977,-0.139584,3.705219,4.720469,3.975426,0.555765,0.340316,0.498333,-0.726122,-0.768392,-0.759452,-0.012327,-0.049484,-0.035599
6.586427,-0.365368,-6.921313,0.000000,-0.921082,-7.581036,0.862232,-0.279362,-6.814097,-0.137447,3.704887,4.719173,3.974745,0.541173,0.340535,0.500130,-0.671424,-0.721099,-0.710472,0.198804,-0.049379,-0.035468
6.686222,-0.285555,-6.981312,0.000000,-0.824785,-7.657867,0.863853,-0.219373,-6.861955,-0.135626,3.710238,4.717884,3.974060,0.529075,0.340344,0.501271,-0.618007,-0.674154,-0.662416,0.347794,-0.049417,-0.035481
6.786016,-0.202771,-7.036963,0.000000,-0.725620,-7.729802,0.865174,-0.156836,-6.907315,-0.134063,3.719581,4.716600,3.973371,0.513784,0.339720,0.501761,-0.565976,-0.627714,-0.615515,0.526050,-0.049384,-0.035219
6.885810,-0.117207,-7.088321,0.000000,-0.519553,-7.859314,0.869147,-0.024599,-6.990396,-0.130850,3.733668,4.714052,3.971986,0.499262,0.337177,0.500780,-0.515434,-0.537267,-0.525927,0.674571,-0.049373,-0.035195
6.985605,-0.029189,-7.135353,0.000000,-0.413261,-7.916927,0.870805,0.044742,-7.027976,-0.129151,3.751655,4.712785,3.971287,0.485160,0.335296,0.499267,-0.466289,-0.493640,-0.483282,0.803401,-0.049320,-0.035182
7.085399,0.060980,-7.178059,0.000000,-0.305048,-7.969887,0.872244,0.116048,-7.062871,-0.127627,3.772965,4.711524,3.970584,0.470715,0.333101,0.497096,-0.418610,-0.451334,-0.442147,0.927339,-0.049326,-0.035170
7.185193,0.153097,-7.216501,0.000000,-0.195220,-8.018211,0.873491,0.189105,-7.095013,-0.126263,3.797414,4.710268,3.969877,0.457566,0.330680,0.494174,-0.372288,-0.410153,-0.402108,1.023468,-0.049296,-0.035157
7.284988,0.246830,-7.250680,0.000000,-0.083938,-8.061983,0.874568,0.263789,-7.124387,-0.125043,3.824215,4.709016,3.969166,0.445533,0.328082,0.490441,-0.327240,-0.369949,-0.362828,1.097737,-0.049274,-0.035145
7.384782,0.342011,-7.280666,0.000000,0.028572,-8.101256,0.875496,0.339949,-7.150969,-0.123949,3.852755,4.707769,3.968452,0.434384,0.325341,0.485967,-0.283340,-0.330669,-0.324227,1.156012,-0.049301,-0.035132
7.484576,0.438405,-7.306499,0.000000,0.256538,-8.166581,0.878647,0.496118,-7.195704,-0.121352,3.882583,4.705379,3.967013,0.423741,0.319521,0.475131,-0.240511,-0.254556,-0.249249,1.205793,0.032243,0.006691
7.584371,0.535794,-7.328231,0.000000,0.371636,-8.192773,0.879935,0.575851,-7.213847,-0.120041,3.913452,4.706188,3.967151,0.413154,0.316504,0.468889,-0.198760,-0.217658,-0.212794,1.255214,0.103840,0.110618
7.684165,0.634007,-7.345931,0.000000,0.487293,-8.214753,0.881085,0.656525,-7.229177,-0.118843,3.945331,4.708785,3.969440,0.403437,0.313397,0.462189,-0.158019,-0.181492,-0.177035,1.291195,0.170819,0.212682
7.783959,0.732849,-7.359662,0.000000,0.603326,-8.232590,0.882111,0.738005,-7.241701,-0.117747,3.977857,4.713041,3.973855,0.394380,0.310238,0.455094,-0.118213,-0.146025,-0.141931,1.318079,0.232929,0.312376
7.883754,0.832152,-7.369493,0.000000,0.719594,-8.246358,0.883026,0.820165,-7.251429,-0.116744,4.010788,4.718824,3.980353,0.385901,0.306959,0.447671,-0.079284,-0.111225,-0.107455,1.337735,0.292528,0.409170
7.983548,0.931766,-7.375493,0.000000,0.835992,-8.256138,0.883841,0.902923,-7.258380,-0.115827,4.043936,4.726060,3.988881,0.377578,0.303518,0.440094,-0.041176,-0.077078,-0.073598,1.357830,0.351136,0.500803
8.083343,1.031539,-7.377736,0.000000,1.068569,-8.264028,0.886140,1.069725,-7.264029,-0.113857,4.077306,4.744705,4.011596,0.369109,0.296380,0.424802,-0.003920,-0.010622,-0.007659,1.383698,0.460989,0.666412
8.183137,1.131303,-7.376303,0.000000,1.184515,-8.262297,0.887255,1.153588,-7.262775,-0.112743,4.111033,4.755958,4.025505,0.361356,0.292804,0.417526,0.032516,0.021729,0.024460,1.399450,0.510113,0.734612
8.282931,1.230983,-7.371273,0.000000,1.300078,-8.256890,0.888268,1.237621,-7.258843,-0.111716,4.144865,4.768350,4.040828,0.353854,0.289287,0.410608,0.068209,0.053551,0.056044,1.413985,0.554410,0.792568
8.382726,1.330400,-7.362728,0.000000,1.415183,-8.247886,0.889184,1.321760,-7.252260,-0.110770,4.178770,4.781756,4.057348,0.346564,0.285876,0.404066,0.103154,0.084863,0.087136,1.427993,0.593263,0.840831
8.482520,1.429465,-7.350750,0.000000,1.529681,-8.235371,0.890011,1.405884,-7.243064,-0.109901,4.212735,4.796024,4.074847,0.339131,0.282643,0.397903,0.137378,0.115711,0.117757,1.448217,0.625312,0.880223
8.582314,1.528085,-7.335423,0.000000,1.643527,-8.219423,0.890757,1.489966,-7.231284,-0.109104,4.246903,4.810989,4.093146,0.331427,0.279606,0.392186,0.170837,0.146136,0.147959,1.476858,0.650719,0.910170
8.682109,1.626110,-7.316851,0.000000,1.756563,-8.200140,0.891425,1.573915,-7.216962,-0.108378,4.281465,4.826474,4.112040,0.324283,0.276847,0.386923,0.203544,0.176154,0.177770,1.497141,0.667857,0.931172
8.781903,1.723514,-7.295111,0.000000,1.979979,-8.151919,0.892999,1.657655,-7.200142,-0.107715,4.316220,4.858211,4.131336,0.315914,0.272172,0.382148,0.235500,0.235171,0.207222,1.545478,0.679395,0.943160
8.881697,1.820167,-7.270316,0.000000,2.090214,-8.123155,0.893854,1.824224,-7.159179,-0.106143,4.351806,4.874117,4.170378,0.307290,0.270166,0.374066,0.266594,0.264237,0.265228,1.601183,0.677121,0.941981
8.981492,1.916016,-7.242569,0.000000,2.199428,-8.091384,0.894591,1.906857,-7.135141,-0.105409,4.388371,4.889893,4.189771,0.300328,0.268331,0.370716,0.296860,0.293073,0.293866,1.623830,0.671218,0.930446
9.081286,2.011000,-7.211957,0.000000,2.307653,-8.056636,0.895202,1.988901,-7.108798,-0.104795,4.425143,4.905470,4.208864,0.296213,0.266648,0.367678,0.326624,0.321689,0.322305,1.588729,0.662333,0.914916
9.181080,2.105030,-7.178553,0.000000,2.414797,-8.018966,0.895680,2.070264,-7.080192,-0.104311,4.460828,4.920781,4.227570,0.292544,0.265096,0.364843,0.355996,0.350150,0.350577,1.549385,0.651190,0.897682
9.280875,2.198046,-7.142416,0.000000,2.520854,-7.978392,0.896013,2.150819,-7.049374,-0.103969,4.495356,4.935785,4.245845,0.290827,0.263656,0.362143,0.385096,0.378469,0.378731,1.471930,0.638391,0.880105
9.380669,2.289971,-7.103596,0.000000,2.625833,-7.934905,0.896188,2.230534,-7.016353,-0.103783,4.527914,4.950460,4.263693,0.289267,0.262323,0.359542,0.414040,0.406697,0.406789,1.397574,0.624074,0.862806
9.480463,2.380737,-7.062139,0.000000,2.729517,-7.888594,0.896188,2.309221,-6.981206,-0.103771,4.558612,4.964755,4.281097,0.287814,0.261069,0.357034,0.442829,0.434880,0.434808,1.327076,0.609153,0.845922
9.580258,2.470273,-7.018094,0.000000,2.831998,-7.839405,0.896000,2.386926,-6.943910,-0.103948,4.587572,4.978683,4.298094,0.286781,0.259905,0.354567,0.471494,0.463039,0.462822,1.252686,0.593215,0.830318
9.680052,2.558533,-6.971493,0.000000,3.032829,-7.732570,0.895302,2.538866,-6.863087,-0.104561,4.614741,5.005337,4.330932,0.286069,0.257806,0.349712,0.500080,0.519514,0.519021,1.176585,0.556848,0.803469
9.779847,2.645402,-6.922404,0.000000,3.131155,-7.674873,0.894746,2.612992,-6.819591,-0.105125,4.640115,5.018004,4.346848,0.286293,0.256845,0.347271,0.528631,0.547905,0.547283,1.083857,0.533384,0.793016
9.879641,2.730845,-6.870847,0.000000,3.227785,-7.614453,0.893916,2.685699,-6.774130,-0.105961,4.663368,5.030103,4.362463,0.286774,0.255914,0.344801,0.557225,0.576468,0.575719,0.991436,0.511457,0.784815
9.979435,2.814779,-6.816865,0.000000,3.322814,-7.551223,0.892795,2.757085,-6.726632,-0.107085,4.684536,5.041696,4.377862,0.287299,0.254994,0.342277,0.585873,0.605212,0.604357,0.904398,0.491354,0.779117
10.079230,2.897123,-6.760504,0.000000,3.416053,-7.485278,0.891374,2.826989,-6.677191,-0.108508,4.703763,5.052813,4.393073,0.287893,0.254066,0.339693,0.614569,0.634189,0.633234,0.821786,0.473491,0.775946
10.179024,2.977829,-6.701790,0.000000,3.507459,-7.416608,0.889634,2.895331,-6.625850,-0.110248,4.721165,5.063516,4.408145,0.288790,0.253103,0.337029,0.643345,0.663420,0.662371,0.737415,0.458496,0.775596
10.278818,3.056795,-6.640787,0.000000,3.597012,-7.345176,0.887550,2.962081,-6.572607,-0.112326,4.736727,5.073877,4.423142,0.289156,0.252086,0.334283,0.672183,0.692888,0.691807,0.672311,0.446578,0.777882
10.378613,3.133974,-6.577526,0.000000,3.684458,-7.271129,0.885101,3.027060,-6.517585,-0.114767,4.750870,5.083953,4.438091,0.289680,0.250989,0.331458,0.701064,0.722629,0.721563,0.607951,0.438380,0.782696
10.478407,3.209297,-6.512056,0.000000,3.853017,-7.114978,0.878559,3.151696,-6.402132,-0.120325,4.763623,5.103633,4.468094,0.290183,0.248497,0.325553,0.730006,0.782675,0.781799,0.548780,0.433445,0.799579
10.578201,3.282691,-6.444434,0.000000,3.933854,-7.032992,0.875140,3.211149,-6.341835,-0.123673,4.775106,5.113402,4.483221,0.290646,0.247088,0.322466,0.758986,0.812886,0.812191,0.494916,0.436558,0.811605
10.677996,3.354084,-6.374719,0.000000,4.012311,-6.948382,0.871232,3.268624,-6.279854,-0.127491,4.785438,5.123244,4.498498,0.291536,0.245563,0.319286,0.788030,0.843118,0.842672,0.434044,0.443217,0.825970
10.777790,3.423436,-6.302941,0.000000,4.088175,-6.861296,0.866810,3.323977,-6.216315,-0.131804,4.794481,5.133225,4.513944,0.291815,0.243928,0.316002,0.817146,0.873347,0.873188,0.393378,0.452967,0.842878
10.877584,3.490654,-6.229190,0.000000,4.161434,-6.771662,0.861829,3.377203,-6.151192,-0.136649,4.802662,5.143431,4.529622,0.292217,0.242171,0.312610,0.846284,0.903509,0.903652,0.352599,0.465973,0.862267
10.977379,3.555692,-6.153513,0.000000,4.231905,-6.679601,0.856256,3.428198,-6.084576,-0.142057,4.809983,5.153923,4.545564,0.289807,0.240296,0.309093,0.875415,0.933561,0.934036,0.388185,0.481904,0.884481
11.077173,3.618525,-6.075976,0.000000,4.299439,-6.585241,0.850032,3.476962,-6.016442,-0.148061,4.818030,5.164762,4.561838,0.282834,0.238299,0.305448,0.903989,0.963464,0.964259,0.541003,0.500742,0.909490
