# x_m, y_m, v_mps
-10.210,-0.980,6.237
-10.179,-1.028,6.236
-10.147,-1.076,6.235
-10.115,-1.123,6.234
-10.081,-1.169,6.233
-10.047,-1.215,6.233
-10.012,-1.260,6.232
-9.976,-1.305,6.231
-9.940,-1.349,6.230
-9.902,-1.393,6.229
-9.864,-1.436,6.229
-9.826,-1.479,6.228
-9.786,-1.520,6.227
-9.746,-1.561,6.226
-9.705,-1.602,6.225
-9.664,-1.642,6.225
-9.622,-1.681,6.224
-9.579,-1.719,6.223
-9.535,-1.757,6.222
-9.491,-1.794,6.221
-9.446,-1.831,6.221
-9.401,-1.866,6.220
-9.354,-1.901,6.220
-9.308,-1.935,6.220
-9.260,-1.968,6.221
-9.212,-2.000,6.222
-9.163,-2.032,6.223
-9.114,-2.063,6.225
-9.064,-2.092,6.227
-9.014,-2.121,6.230
-8.963,-2.149,6.233
-8.911,-2.177,6.236
-8.859,-2.203,6.240
-8.806,-2.228,6.244
-8.753,-2.252,6.248
-8.699,-2.276,6.252
-8.645,-2.298,6.257
-8.590,-2.319,6.263
-8.536,-2.339,6.268
-8.481,-2.358,6.274
-8.426,-2.376,6.280
-8.371,-2.393,6.287
-8.316,-2.409,6.294
-8.261,-2.424,6.301
-8.206,-2.438,6.309
-8.151,-2.451,6.316
-8.095,-2.464,6.325
-8.040,-2.475,6.333
-7.985,-2.486,6.342
